100     22202.3
200     21292
400     19239.5
800     18569.1
900     18088.1
1200    17654
1400    17397.9
1500    17029
1900    16706.7
2000    16702.3
2100    16684.2
2200    16109
2400    15572.7
2500    15523.4
2700    15438.4
2800    14498.6
3400    14344.5
3800    14315.5
3900    13982.9
4000    13635.7
4200    13624
4300    13163.3
4600    13130.2
4700    12981.7
4800    12935.4
5000    12829
5100    12821.7
5200    12745.1
5300    12667.9
5500    12627.2
5700    12598.3
6900    12583.8
7100    12546
7500    12518.1
11700   12506.5
12700   12504.9
12900   12481.1
13400   12480.3
15600   12315.8
26000   12289.7
27000   12278.8
27100   12278.1
28700   12258.4
29200   12246.8
33800   12246.1
